Name,Symbol,Price Usd,volume 24h,Volume 30d,Market Cap,Dominance,Year Till Date Price Change Percentage,CMC Rank,Market Pair Count,Circulating Supply,Total Supply,Last Updated
Bitcoin,BTC,24631.09232,38547410408,4.75658E+11,4.75242E+11,42.4672,48.1562,1,9984,19294406,19294406,2023-02-18T05:11:00.000Z
Ethereum,ETH,1699.478702,9071344606,1.44255E+11,2.07972E+11,18.5827,41.5094,2,6469,122373866.2,122373866.2,2023-02-18T05:11:00.000Z
Tether,USDT,1.000201562,50500655968,6.37769E+11,70308109565,6.2822,0.051,3,47755,70293941012,73141766321,2023-02-18T05:11:00.000Z
BNB,BNB,315.8168892,631179256.2,9949988726,49866774799,4.4557,29.3605,4,1191,157897745.5,159979963.6,2023-02-18T05:11:00.000Z
USD Coin,USDC,1.000032555,4457891966,75731633571,41867298827,3.7413,0.0039,5,10151,41865935868,41865935868,2023-02-18T05:11:00.000Z
XRP,XRP,0.394592174,863469145.5,11644681808,20044921331,1.7915,16.4802,6,886,50799084881,99989130718,2023-02-18T05:11:00.000Z
Cardano,ADA,0.404056437,375092426.2,15833542791,13996697983,1.2506,61.771,7,652,34640452954,35485065065,2023-02-18T05:11:00.000Z
Binance USD,BUSD,1.000282131,10036391562,1.74086E+11,13578389252,1.2135,-0.0058,8,6219,13574559443,13574559443,2023-02-18T05:11:00.000Z
Polygon,MATIC,1.541001173,1293176031,13161424503,13459593476,1.2029,102.7706,9,588,8734317475,10000000000,2023-02-18T05:11:00.000Z
Dogecoin,DOGE,0.088107603,400988274.7,6245571989,11689302978,1.0446,25.4653,10,644,1.32671E+11,1.32671E+11,2023-02-18T05:11:00.000Z
Solana,SOL,23.4287969,540842840.7,28803859323,8855348142,0.7914,134.7064,11,433,377968539.3,539312704.9,2023-02-18T05:11:00.000Z
Polkadot,DOT,7.276627668,729246041.9,17321254983,8426264025,0.753,66.4821,12,468,1157990268,1284413939,2023-02-18T05:11:00.000Z
Shiba Inu,SHIB,1.33E-05,320919240.7,7942448300,7322194015,0.6544,64.1565,13,487,5.49063E+14,5.89735E+14,2023-02-18T05:11:00.000Z
Litecoin,LTC,101.0626159,750963987.4,11070105634,7307179892,0.653,42.7122,14,874,72303490.54,84000000,2023-02-18T05:11:00.000Z
TRON,TRX,0.070694262,360474587.2,5368254975,6474010391,0.5786,28.9578,15,725,91577593621,91577599442,2023-02-18T05:11:00.000Z
Avalanche,AVAX,19.71554784,328563622.4,10650243615,6212875167,0.5553,81.444,16,376,315125667.2,420531657.2,2023-02-18T05:11:00.000Z
Uniswap,UNI,6.927450893,162170959.7,1443633581,5280167680,0.4718,32.0483,17,613,762209326.5,1000000000,2023-02-18T05:11:00.000Z
Dai,DAI,0.999758577,247646130.4,3185422469,5240484152,0.4684,-0.0031,18,1879,5241749628,5241749628,2023-02-18T05:11:00.000Z
Wrapped Bitcoin,WBTC,24605.80092,273252149.4,3405377696,4328085613,0.3868,48.5757,19,885,175896.9614,175896.9614,2023-02-18T05:11:00.000Z
Cosmos,ATOM,14.17942521,193341887.1,3290042230,4060566207,0.3628,49.8174,20,399,286370297,0,2023-02-18T05:11:00.000Z
Chainlink,LINK,7.635980652,811075724,14251980568,3879077945,0.3466,35.8125,21,970,507999970.5,1000000000,2023-02-18T05:11:00.000Z
OKB,OKB,55.26442251,143887529,1450795248,3315865351,0.2963,101.2991,22,88,60000000,300000000,2023-02-18T05:11:00.000Z
UNUS SED LEO,LEO,3.340914935,2093720.366,49018858.69,3187079600,0.2848,-5.1928,23,23,953954130,985239504,2023-02-18T05:11:00.000Z
Ethereum Classic,ETC,22.43319512,212523966.8,3715227214,3129342877,0.2796,42.2341,24,371,139496084.3,210700000,2023-02-18T05:11:00.000Z
Filecoin,FIL,7.670232973,1497184431,5795376527,2987661024,0.267,146.5189,25,276,389513726,389513726,2023-02-18T05:11:00.000Z
Monero,XMR,159.4934344,91001877.28,2985044677,2909446710,0.26,7.3474,26,205,18241796.11,18241796.11,2023-02-18T05:11:00.000Z
Toncoin,TON,2.332655362,27925253.15,808793753.6,2849108014,0.2546,1.1212,27,85,1221401181,5047558528,2023-02-18T05:11:00.000Z
Bitcoin Cash,BCH,134.0424938,217170515.4,5201039662,2588998095,0.2314,38.2522,28,672,19314756.25,19314756.25,2023-02-18T05:11:00.000Z
Lido DAO,LDO,2.986757544,359535280.3,5558508839,2521632881,0.2254,176.511,29,154,844271034.3,1000000000,2023-02-18T05:11:00.000Z
Aptos,APT,14.7796368,655828204.9,22674784460,2403531873,0.2148,319.0832,30,154,162624556,1015668377,2023-02-18T05:11:00.000Z
Stellar,XLM,0.090621855,66074614.27,958686375.7,2388937832,0.2135,24.9537,31,478,26361608015,50001787455,2023-02-18T05:11:00.000Z
Hedera,HBAR,0.085750529,54490921.36,6789127832,2250079413,0.201,125.1621,32,125,26239831125,50000000000,2023-02-18T05:11:00.000Z
NEAR Protocol,NEAR,2.523482586,174905664.8,2351271345,2168019638,0.1937,97.7932,33,219,859137943,1000000000,2023-02-18T05:11:00.000Z
Internet Computer,ICP,7.383510744,247540669,3675575536,2140210551,0.1913,83.7804,34,140,289863538.5,495799545,2023-02-18T05:11:00.000Z
ApeCoin,APE,5.640612559,128446748.8,3500310428,2079094535,0.1858,45.9747,35,243,368593750,1000000000,2023-02-18T05:11:00.000Z
VeChain,VET,0.028233194,152562806.9,1116506200,2047221256,0.1829,76.0436,36,212,72511146418,85985041177,2023-02-18T05:11:00.000Z
Cronos,CRO,0.080302331,21391328.76,353364382.8,2028678883,0.1813,41.3014,37,179,25263013692,30263013692,2023-02-18T05:11:00.000Z
Algorand,ALGO,0.276493725,97609650.07,1584250486,1963910137,0.1755,55.8009,38,281,7102910340,7325108498,2023-02-18T05:11:00.000Z
Quant,QNT,141.8455512,32554611.78,519752327,1712464176,0.153,34.0847,39,138,12072738,14612493.08,2023-02-18T05:11:00.000Z
Fantom,FTM,0.557254321,442538304.1,19081929535,1547707051,0.1383,177.3592,40,420,2777380082,3175000000,2023-02-18T05:11:00.000Z
The Graph,GRT,0.170708332,127046242,4644431879,1504912223,0.1345,202.0643,41,269,8815692851,10587528665,2023-02-18T05:11:00.000Z
Flow,FLOW,1.389670793,245892337.7,4327684536,1439976875,0.1287,111.5495,42,117,1036200000,1414011748,2023-02-18T05:11:00.000Z
Decentraland,MANA,0.728732246,158458537.9,5980782796,1351859670,0.1208,141.7677,43,340,1855084192,2193539027,2023-02-18T05:11:00.000Z
EOS,EOS,1.234738518,416448620.3,10955393403,1335077994,0.1193,40.5593,44,510,1081263745,1083027703,2023-02-18T05:11:00.000Z
MultiversX,EGLD,52.56043693,59734367.79,2593646505,1314802378,0.1175,59.5126,45,139,25015058,25020210,2023-02-18T05:11:00.000Z
Theta Network,THETA,1.256254831,51887169.77,1795541270,1256254831,0.1123,71.4583,46,139,1000000000,1000000000,2023-02-18T05:11:00.000Z
BitDAO,BIT,0.596725564,13642032.96,447483299.6,1247721033,0.1115,79.2374,47,54,2090946169,10000000000,2023-02-18T05:11:00.000Z
Aave,AAVE,88.444393,103326081.8,7030023949,1246463863,0.1114,69.9356,48,501,14093192.58,16000000,2023-02-18T05:11:00.000Z
Axie Infinity,AXS,11.01436378,139757097.3,4897365924,1230882689,0.11,74.4459,49,292,111752500,270000000,2023-02-18T05:11:00.000Z
The Sandbox,SAND,0.777167152,285144467.2,4149459330,1165338913,0.1042,99.9009,50,334,1499470108,3000000000,2023-02-18T05:11:00.000Z
Tezos,XTZ,1.172607113,33203536.16,546975765.6,1087696297,0.0972,63.0751,51,262,927588009,949000885.5,2023-02-18T05:11:00.000Z
Terra Classic,LUNC,0.000170785,80023710.47,1862222205,1009614871,0.0902,13.8533,52,390,5.91161E+12,6.86994E+12,2023-02-18T05:11:00.000Z
Rocket Pool,RPL,52.03241688,45715883.91,610996563.4,994517073.2,0.0889,152.723,53,71,19113413,19113413,2023-02-18T05:11:00.000Z
TrueUSD,TUSD,1.000000378,45912059.4,937704396.4,968281983,0.0865,-0.0158,54,329,968281617.4,968281617.4,2023-02-18T05:11:00.000Z
Chiliz,CHZ,0.141689322,84238121.83,1993832910,944147297.7,0.0844,40.1969,55,315,6663503543,8888888888,2023-02-18T05:11:00.000Z
Mina,MINA,1.10893606,130121205.7,3648602398,933662226.1,0.0834,156.1949,56,79,841944147.8,824104972,2023-02-18T05:11:00.000Z
ImmutableX,IMX,1.110316684,73276980.6,2890776346,881314546.4,0.0788,188.0133,57,126,793750610.9,2000000000,2023-02-18T05:11:00.000Z
Pax Dollar,USDP,1.001867911,1828491.619,267058846,879724247.7,0.0786,0.2925,58,85,878084065.1,878084065.1,2023-02-18T05:11:00.000Z
Curve DAO Token,CRV,1.200924817,200071057.3,9051842486,874910460.9,0.0782,128.0287,59,412,728530586.5,1903158432,2023-02-18T05:11:00.000Z
KuCoin Token,KCS,8.786423074,1519602.49,24122749.3,864407080.3,0.0773,34.3287,60,39,98379860.95,145879861,2023-02-18T05:11:00.000Z
Huobi Token,HT,5.246268169,18791189,264543480.1,851122251.7,0.0761,2.5,61,115,162233844,203980445,2023-02-18T05:11:00.000Z
Frax Share,FXS,11.2503867,79174494.79,2012494388,830907480.7,0.0742,154.0578,62,141,73855904.07,99822984.11,2023-02-18T05:11:00.000Z
Bitcoin SV,BSV,42.7765265,45575349.05,3309275744,824135838.1,0.0737,3.5451,63,188,19266076.64,19266076.64,2023-02-18T05:11:00.000Z
